"#","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/ 1M pop","Population","Continent"
"221","Saint Helena","2","","","","2","","0","","328","","","","6,096","Africa"
"222","Micronesia","1","","","","1","","0","","9","","","","116,274","Australia/Oceania"
"","Total:","41,336,411","+19,548","928,517","+345","34,672,222","+12,610","5,735,672","11,871","","","","","","North America","","","","","",""
"","Total:","58,817,376","+184,734","839,711","+2,879","55,559,907","+144,024","2,417,758","29,746","","","","","","Asia","","","","","",""
"","Total:","34,454,500","+1,239","1,050,216","+31","31,853,058","+1,388","1,551,226","27,249","","","","","","South America","","","","","",""
"","Total:","49,676,742","+106,662","1,118,947","+901","46,127,830","+38,472","2,429,965","6,301","","","","","","Europe","","","","","",""
"","Total:","6,217,041","+7,208","157,067","+177","5,396,187","+5,445","663,787","4,415","","","","","","Africa","","","","","",""
"","Total:","88,075","+1,318","1,355","+6","72,089","+159","14,631","52","","","","","","Australia/Oceania","","","","","",""
"","Total:","721","","15","","706","","0","0","","","","","","","","","","","",""
"","Total:","190,590,866","+320,709","4,095,828","+4,339","173,681,999","+202,098","12,813,039","79,634","24,451.0","525.5","","","","All","","","","","",""
